,x,y,z,time,charge
0,114.39,-461.99,175.27,6458,1.1749999523162842
1,282.18,-325.74,123.99,6470,0.2750000059604645
2,-268.9,354.24,416.43,6829,0.9750000238418579
3,257.31,211.66,402.3,7108,0.9750000238418579
4,-9.13,-481.74,-45.43,7253,1.225000023841858
5,-166.4,-287.79,327.33,7601,0.7749999761581421
6,79.41,-248.24,175.51,7938,0.9750000238418579
7,-313.6,237.44,-43.47,9102,1.125
8,46.29,-34.88,58.44,9852,1.5750000476837158
9,46.29,-34.88,58.44,9859,0.7250000238418579
10,46.29,-34.88,58.44,9867,2.4749999046325684
11,46.29,-34.88,58.44,9879,2.875
12,46.29,-34.88,58.44,9885,0.4749999940395355
13,46.29,-34.88,58.44,9912,0.875
14,46.29,-34.88,7.37,9912,1.375
15,46.29,-34.88,75.46,9944,0.7250000238418579
16,46.29,-34.88,7.37,9965,0.824999988079071
17,46.29,-34.88,75.46,9966,0.9750000238418579
18,46.29,-34.88,58.44,9978,0.4749999940395355
19,292.9,5.2,-155.38,9992,0.9750000238418579
20,46.29,-34.88,-9.65,10032,1.5750000476837158
21,41.6,35.49,99.41,10032,0.9750000238418579
22,41.6,35.49,99.41,10039,0.9750000238418579
23,46.29,-34.88,109.5,10056,0.375
24,46.29,-34.88,92.48,10080,0.4749999940395355
25,46.29,-34.88,92.48,10103,0.925000011920929
26,41.6,35.49,119.44,10111,0.675000011920929
27,46.29,-34.88,-9.65,10132,1.0750000476837158
28,46.29,-34.88,75.46,10137,1.475000023841858
29,41.6,35.49,99.41,10153,1.274999976158142
30,41.6,35.49,109.43,10200,0.42500001192092896
31,90.49,82.35,42.1,10221,0.9750000238418579
32,41.6,35.49,129.45,10240,1.3250000476837158
33,46.29,-34.88,75.46,10257,0.824999988079071
34,90.49,82.35,8.06,10261,1.0750000476837158
35,106.94,27.09,96.55,10275,1.024999976158142
36,72.37,-66.6,107.5,10277,0.675000011920929
37,-10.97,6.72,130.35,10316,0.42500001192092896
38,90.49,82.35,25.08,10326,1.225000023841858
39,41.6,35.49,119.44,10333,1.274999976158142
40,31.25,-72.93,148.24,10334,0.7250000238418579
41,41.6,35.49,99.41,10334,0.675000011920929
42,106.94,27.09,106.56,10343,0.625
43,90.49,82.35,25.08,10346,0.925000011920929
44,46.29,-34.88,126.52,10349,1.3250000476837158
45,90.49,82.35,110.19,10349,0.9750000238418579
46,-32.96,62.44,2.21,10354,1.024999976158142
47,-32.96,62.44,36.25,10355,1.0750000476837158
48,-32.96,62.44,-31.83,10367,1.5750000476837158
49,-32.96,62.44,-31.83,10374,1.0750000476837158
50,46.29,-34.88,75.46,10375,1.3250000476837158
51,-10.97,6.72,100.31,10384,1.375
52,41.6,35.49,139.46,10387,0.7749999761581421
53,41.6,35.49,109.43,10398,0.5249999761581421
54,90.49,82.35,42.1,10418,0.125
55,90.49,82.35,42.1,10463,0.925000011920929
56,-10.97,6.72,160.39,10467,0.625
57,-10.97,6.72,140.36,10482,0.625
58,46.29,-34.88,143.54,10497,0.32499998807907104
59,-32.96,62.44,2.21,10506,0.4749999940395355
60,90.49,82.35,59.13,10512,1.0750000476837158
61,90.49,82.35,-8.96,10514,0.925000011920929
62,-32.96,62.44,121.36,10519,1.4249999523162842
63,46.29,-34.88,-43.69,10523,1.225000023841858
64,124.97,-131.25,51.12,10537,1.024999976158142
65,195.03,125.59,25.25,10572,0.5249999761581421
66,195.03,125.59,-25.81,10594,0.675000011920929
67,195.03,125.59,8.23,10606,0.4749999940395355
68,195.03,125.59,-8.79,10608,0.675000011920929
69,-10.97,6.72,160.39,10652,0.22499999403953552
70,46.29,-34.88,92.48,10654,0.574999988079071
71,-9.68,-79.5,100.9,10663,0.925000011920929
72,106.94,27.09,96.55,10681,1.274999976158142
73,106.94,27.09,126.59,10684,0.9750000238418579
74,-526.63,-15.6,-467.52,10702,0.32499998807907104
75,195.03,125.59,25.25,10705,0.925000011920929
76,-77.8,-54.33,26.12,10733,0.7250000238418579
77,-66.7,276.92,-285.13,10738,0.675000011920929
78,-10.97,6.72,130.35,10741,1.024999976158142
79,-10.97,6.72,110.33,10781,0.7250000238418579
80,90.49,82.35,25.08,10787,0.9750000238418579
81,57.2,-105.52,145.97,10798,0.875
82,57.2,-105.52,145.97,10829,0.42500001192092896
83,41.6,35.49,119.44,10854,0.625
84,90.49,82.35,-8.96,10905,0.925000011920929
85,-10.97,6.72,150.37,10940,1.225000023841858
86,330.03,127.2,-26.78,10966,1.4249999523162842
87,106.94,27.09,96.55,10975,0.7250000238418579
88,330.03,127.2,-26.78,10978,1.024999976158142
89,-392.38,334.24,145.36,11005,0.925000011920929
90,330.03,127.2,-26.78,11037,1.225000023841858
91,330.03,127.2,-9.76,11056,1.625
92,-392.38,334.24,-314.2,11081,0.7250000238418579
93,195.03,125.59,25.25,11091,1.024999976158142
94,195.03,125.59,42.27,11094,0.2750000059604645
95,-101.06,490.22,-366.57,11144,0.7749999761581421
96,31.25,-72.93,108.2,11153,0.7250000238418579
97,-77.8,-54.33,43.14,11166,0.32499998807907104
98,132.03,202.98,43.18,11203,1.225000023841858
99,106.94,27.09,146.61,11265,0.7250000238418579
100,292.9,5.2,-19.22,11348,0.824999988079071
101,382.35,238.9,-29.1,11352,0.574999988079071
102,90.49,82.35,8.06,11410,1.024999976158142
103,195.03,125.59,25.25,11473,0.875
104,505.27,257.88,-72.47,11590,1.024999976158142
105,505.27,257.88,-72.47,11596,1.024999976158142
106,505.27,257.88,-72.47,11606,0.625
107,505.27,257.88,-72.47,11622,4.224999904632568
108,505.27,257.88,-89.49,11626,2.7750000953674316
109,505.27,257.88,-72.47,11627,3.2750000953674316
110,505.27,257.88,-89.49,11629,3.2249999046325684
111,505.27,257.88,-72.47,11632,9.074999809265137
112,505.27,257.88,-89.49,11632,4.474999904632568
113,505.27,257.88,-89.49,11636,4.824999809265137
114,505.27,257.88,-72.47,11638,15.375
115,505.27,257.88,-89.49,11641,2.4749999046325684
116,505.27,257.88,-72.47,11644,10.824999809265137
117,505.27,257.88,-89.49,11645,4.925000190734863
118,505.27,257.88,-89.49,11648,3.2750000953674316
119,505.27,257.88,-72.47,11651,8.125
120,505.27,257.88,-89.49,11653,4.324999809265137
121,505.27,257.88,-72.47,11656,6.224999904632568
122,505.27,257.88,-89.49,11657,2.575000047683716
123,505.27,257.88,-89.49,11661,3.9749999046325684
124,505.27,257.88,-72.47,11662,5.324999809265137
125,505.27,257.88,-89.49,11668,6.074999809265137
126,505.27,257.88,-72.47,11670,2.325000047683716
127,505.27,257.88,-89.49,11673,6.224999904632568
128,505.27,257.88,-72.47,11675,2.2249999046325684
129,505.27,257.88,-72.47,11681,2.125
130,505.27,257.88,-89.49,11683,7.125
131,505.27,257.88,-72.47,11689,1.6749999523162842
132,505.27,257.88,-89.49,11689,3.125
133,505.27,257.88,-72.47,11697,5.224999904632568
134,505.27,257.88,-89.49,11701,1.375
135,505.27,257.88,-72.47,11702,4.025000095367432
136,505.27,257.88,-89.49,11707,1.3250000476837158
137,505.27,257.88,-72.47,11709,0.875
138,90.49,82.35,8.06,11710,0.925000011920929
139,505.27,257.88,-89.49,11718,1.524999976158142
140,505.27,257.88,-72.47,11719,1.4249999523162842
141,505.27,257.88,-72.47,11725,2.125
142,505.27,257.88,-89.49,11726,2.325000047683716
143,505.27,257.88,-72.47,11730,2.7750000953674316
144,505.27,257.88,-89.49,11730,0.7749999761581421
145,124.97,-131.25,-16.97,11731,0.42500001192092896
146,505.27,257.88,-55.45,11737,1.0750000476837158
147,505.27,257.88,-72.47,11742,2.2249999046325684
148,505.27,257.88,-89.49,11742,0.375
149,505.27,257.88,-55.45,11743,0.9750000238418579
150,505.27,257.88,-89.49,11748,2.0250000953674316
151,505.27,257.88,-72.47,11753,2.2249999046325684
152,505.27,257.88,-106.51,11753,0.5249999761581421
153,505.27,257.88,-89.49,11757,1.475000023841858
154,505.27,257.88,-106.51,11758,0.4749999940395355
155,505.27,257.88,-55.45,11760,1.6749999523162842
156,505.27,257.88,-72.47,11760,2.125
157,505.27,257.88,-72.47,11766,2.174999952316284
158,505.27,257.88,-89.49,11769,2.0250000953674316
159,505.27,257.88,-106.51,11772,0.7749999761581421
160,505.27,257.88,-72.47,11777,1.274999976158142
161,505.27,257.88,-55.45,11778,1.0750000476837158
162,505.27,257.88,-106.51,11778,0.375
163,505.27,257.88,-106.51,11778,1.024999976158142
164,505.27,257.88,-72.47,11784,1.875
165,505.27,257.88,-89.49,11784,0.7749999761581421
166,505.27,257.88,-55.45,11787,0.5249999761581421
167,505.27,257.88,-89.49,11793,0.925000011920929
168,505.27,257.88,-72.47,11795,1.375
169,505.27,257.88,-89.49,11803,1.3250000476837158
170,382.35,238.9,-63.14,11805,0.675000011920929
171,505.27,257.88,-55.45,11806,1.125
172,505.27,257.88,-55.45,11811,0.925000011920929
173,505.27,257.88,-72.47,11819,0.5249999761581421
174,505.27,257.88,-55.45,11822,0.32499998807907104
175,505.27,257.88,-89.49,11823,0.875
176,505.27,257.88,-72.47,11828,0.824999988079071
177,505.27,257.88,-55.45,11831,1.4249999523162842
178,505.27,257.88,-72.47,11854,0.824999988079071
179,505.27,257.88,-55.45,11856,1.024999976158142
180,505.27,257.88,-38.43,11867,1.024999976158142
