,x,y,z,time,charge,auxiliary
0,544.07,55.89,247.47,5819,0.9750000238418579,1
1,-279.53,23.17,264.32,6164,2.674999952316284,1
2,505.27,257.88,216.88,6176,1.274999976158142,1
3,-279.53,23.17,264.32,6183,0.32499998807907104,1
4,-447.74,-113.13,-265.26,6198,1.3250000476837158,1
5,237.78,-442.42,75.95,6413,0.925000011920929,1
6,72.37,-66.6,-398.12,6455,0.7749999761581421,1
7,210.47,-209.77,105.47,6504,1.1749999523162842,1
8,-526.63,-15.6,162.25,7009,0.7749999761581421,1
9,72.37,-66.6,-271.97,7409,1.0750000476837158,1
10,114.39,-461.99,-335.35,7618,1.0750000476837158,1
11,382.35,238.9,73.03,7629,0.42500001192092896,1
12,237.78,-442.42,484.44,8312,1.274999976158142,1
13,-279.53,23.17,-416.51,8805,0.2750000059604645,1
14,-279.53,23.17,264.32,8977,0.925000011920929,1
15,-413.46,-327.27,312.37,9315,0.42500001192092896,1
16,124.97,-131.25,476.63,9421,1.024999976158142,1
17,194.34,-30.92,453.03,9624,1.024999976158142,1
18,124.97,-131.25,306.43,9891,1.225000023841858,0
19,-111.51,159.98,-469.65,9986,0.9750000238418579,1
20,124.97,-131.25,255.36,10173,0.675000011920929,0
21,113.19,-60.47,176.31,10295,0.925000011920929,0
22,113.19,-60.47,136.26,10333,0.875,0
23,113.19,-60.47,136.26,10340,1.125,0
24,113.19,-60.47,136.26,10344,0.5249999761581421,0
25,113.19,-60.47,146.27,10349,0.22499999403953552,0
26,113.19,-60.47,156.29,10355,1.024999976158142,0
27,113.19,-60.47,126.25,10371,1.524999976158142,0
28,72.37,-66.6,-398.12,10386,0.7250000238418579,1
29,113.19,-60.47,116.24,10411,0.574999988079071,0
30,113.19,-60.47,126.25,10413,1.274999976158142,0
31,113.19,-60.47,146.27,10416,0.7749999761581421,0
32,113.19,-60.47,146.27,10418,0.9750000238418579,0
33,113.19,-60.47,116.24,10422,0.925000011920929,0
34,113.19,-60.47,146.27,10426,0.7250000238418579,0
35,113.19,-60.47,136.26,10482,1.024999976158142,0
36,113.19,-60.47,126.25,10493,2.375,0
37,113.19,-60.47,96.21,10575,0.824999988079071,0
38,46.29,-34.88,245.66,10594,1.024999976158142,1
39,113.19,-60.47,116.24,10636,0.22499999403953552,0
40,72.37,-66.6,147.54,10658,1.1749999523162842,1
41,113.19,-60.47,96.21,10699,0.925000011920929,0
42,124.97,-131.25,272.38,10717,0.9750000238418579,0
43,31.25,-72.93,-257.25,10755,1.524999976158142,1
44,106.94,27.09,146.61,10755,1.0750000476837158,0
45,113.19,-60.47,116.24,10768,0.9750000238418579,0
46,113.19,-60.47,166.3,10776,1.4249999523162842,0
47,57.2,-105.52,176.01,10797,1.225000023841858,0
48,113.19,-60.47,126.25,10909,0.9750000238418579,0
49,57.2,-105.52,155.99,10913,0.7749999761581421,0
50,41.6,35.49,179.51,10962,0.32499998807907104,1
51,-32.96,62.44,291.57,11064,0.574999988079071,1
52,106.94,27.09,166.64,11180,1.274999976158142,0
53,106.94,27.09,146.61,11233,1.475000023841858,0
54,113.19,-60.47,-168.11,11290,0.675000011920929,0
55,113.19,-60.47,-161.1,11300,0.7250000238418579,0
56,113.19,-60.47,-168.11,11302,1.225000023841858,0
57,90.49,82.35,195.29,11309,0.824999988079071,1
58,113.19,-60.47,-175.12,11312,1.1749999523162842,0
59,113.19,-60.47,-175.12,11332,1.125,0
60,113.19,-60.47,-168.11,11341,1.1749999523162842,0
61,113.19,-60.47,-182.13,11341,0.9750000238418579,0
62,113.19,-60.47,-189.13,11364,1.125,0
63,113.19,-60.47,-189.13,11369,0.375,0
64,113.19,-60.47,-196.14,11386,1.0750000476837158,0
65,113.19,-60.47,156.29,11409,0.875,0
66,113.19,-60.47,-196.14,11414,1.274999976158142,0
67,113.19,-60.47,-182.13,11415,1.1749999523162842,0
68,31.25,-72.93,98.18,11424,1.125,0
69,113.19,-60.47,-161.1,11433,0.675000011920929,0
70,113.19,-60.47,-182.13,11450,0.9750000238418579,0
71,113.19,-60.47,-182.13,11467,0.5249999761581421,0
72,113.19,-60.47,-224.18,11478,2.0250000953674316,0
73,371.56,-92.18,-331.43,11483,0.5249999761581421,1
74,113.19,-60.47,-210.16,11484,1.0750000476837158,0
75,113.19,-60.47,-175.12,11493,0.675000011920929,0
76,113.19,-60.47,-231.19,11497,0.925000011920929,0
77,46.29,-34.88,143.54,11501,1.125,1
78,113.19,-60.47,-231.19,11502,1.375,0
79,113.19,-60.47,-168.11,11507,0.42500001192092896,0
80,113.19,-60.47,-245.2,11556,1.0750000476837158,0
81,124.97,-131.25,17.07,11559,1.1749999523162842,1
82,113.19,-60.47,-252.21,11570,0.875,0
83,113.19,-60.47,-259.22,11590,1.0750000476837158,0
84,124.97,-131.25,-153.13,11591,1.225000023841858,1
85,72.37,-66.6,-166.84,11611,0.7250000238418579,1
86,113.19,-60.47,-273.24,11632,0.824999988079071,0
87,113.19,-60.47,-280.25,11652,0.5249999761581421,0
88,31.25,-72.93,108.2,11665,1.024999976158142,0
89,113.19,-60.47,-287.25,11670,1.0750000476837158,0
90,113.19,-60.47,-287.25,11682,0.42500001192092896,0
91,113.19,-60.47,-280.25,11695,0.17499999701976776,0
92,113.19,-60.47,-294.26,11705,1.3250000476837158,0
93,113.19,-60.47,-301.27,11715,3.125,0
94,113.19,-60.47,-294.26,11719,1.475000023841858,0
95,113.19,-60.47,-217.17,11725,1.3250000476837158,0
96,113.19,-60.47,-308.28,11736,1.125,0
97,113.19,-60.47,-308.28,11747,0.824999988079071,0
98,106.94,27.09,-174.78,11754,0.675000011920929,1
99,113.19,-60.47,-259.22,11758,0.42500001192092896,0
