,sensor_id,x,y,z
0,0,-256.14,-521.08,496.03
1,1,-256.14,-521.08,479.01
2,2,-256.14,-521.08,461.99
3,3,-256.14,-521.08,444.97
4,4,-256.14,-521.08,427.95
5,5,-256.14,-521.08,410.93
6,6,-256.14,-521.08,393.91
7,7,-256.14,-521.08,376.88
8,8,-256.14,-521.08,359.86
9,9,-256.14,-521.08,342.84
10,10,-256.14,-521.08,325.82
11,11,-256.14,-521.08,308.8
12,12,-256.14,-521.08,291.78
13,13,-256.14,-521.08,274.76
14,14,-256.14,-521.08,257.74
15,15,-256.14,-521.08,240.72
16,16,-256.14,-521.08,223.7
17,17,-256.14,-521.08,206.68
18,18,-256.14,-521.08,189.66
19,19,-256.14,-521.08,172.64
20,20,-256.14,-521.08,155.62
21,21,-256.14,-521.08,138.59
22,22,-256.14,-521.08,121.57
23,23,-256.14,-521.08,104.55
24,24,-256.14,-521.08,87.53
25,25,-256.14,-521.08,70.51
26,26,-256.14,-521.08,53.49
27,27,-256.14,-521.08,36.47
28,28,-256.14,-521.08,19.45
29,29,-256.14,-521.08,2.43
30,30,-256.14,-521.08,-14.59
31,31,-256.14,-521.08,-31.61
32,32,-256.14,-521.08,-48.63
33,33,-256.14,-521.08,-65.65
34,34,-256.14,-521.08,-82.68
35,35,-256.14,-521.08,-99.7
36,36,-256.14,-521.08,-116.72
37,37,-256.14,-521.08,-133.74
38,38,-256.14,-521.08,-150.76
39,39,-256.14,-521.08,-167.78
40,40,-256.14,-521.08,-184.8
41,41,-256.14,-521.08,-201.82
42,42,-256.14,-521.08,-218.84
43,43,-256.14,-521.08,-235.86
44,44,-256.14,-521.08,-252.88
45,45,-256.14,-521.08,-269.9
46,46,-256.14,-521.08,-286.92
47,47,-256.14,-521.08,-303.95
48,48,-256.14,-521.08,-320.97
49,49,-256.14,-521.08,-337.99
50,50,-256.14,-521.08,-355.01
51,51,-256.14,-521.08,-372.03
52,52,-256.14,-521.08,-389.05
53,53,-256.14,-521.08,-406.07
54,54,-256.14,-521.08,-423.09
55,55,-256.14,-521.08,-440.11
56,56,-256.14,-521.08,-457.13
57,57,-256.14,-521.08,-474.15
58,58,-256.14,-521.08,-491.17
59,59,-256.14,-521.08,-504.4
60,60,-132.8,-501.45,500.07
61,61,-132.8,-501.45,483.05
62,62,-132.8,-501.45,466.03
63,63,-132.8,-501.45,449.01
64,64,-132.8,-501.45,431.99
65,65,-132.8,-501.45,414.97
66,66,-132.8,-501.45,397.95
67,67,-132.8,-501.45,380.93
68,68,-132.8,-501.45,363.91
69,69,-132.8,-501.45,346.89
70,70,-132.8,-501.45,329.87
71,71,-132.8,-501.45,312.85
72,72,-132.8,-501.45,295.83
73,73,-132.8,-501.45,278.8
74,74,-132.8,-501.45,261.78
75,75,-132.8,-501.45,244.76
76,76,-132.8,-501.45,227.74
77,77,-132.8,-501.45,210.72
78,78,-132.8,-501.45,193.7
79,79,-132.8,-501.45,176.68
80,80,-132.8,-501.45,159.66
81,81,-132.8,-501.45,142.64
82,82,-132.8,-501.45,125.62
83,83,-132.8,-501.45,108.6
84,84,-132.8,-501.45,91.58
85,85,-132.8,-501.45,74.56
86,86,-132.8,-501.45,57.54
87,87,-132.8,-501.45,40.51
88,88,-132.8,-501.45,23.49
89,89,-132.8,-501.45,6.47
90,90,-132.8,-501.45,-10.55
91,91,-132.8,-501.45,-27.57
92,92,-132.8,-501.45,-44.59
93,93,-132.8,-501.45,-61.61
94,94,-132.8,-501.45,-78.63
95,95,-132.8,-501.45,-95.65
96,96,-132.8,-501.45,-112.67
97,97,-132.8,-501.45,-129.69
98,98,-132.8,-501.45,-146.71
99,99,-132.8,-501.45,-163.73
100,100,-132.8,-501.45,-180.76
101,101,-132.8,-501.45,-197.78
102,102,-132.8,-501.45,-214.8
103,103,-132.8,-501.45,-231.82
104,104,-132.8,-501.45,-248.84
105,105,-132.8,-501.45,-265.86
106,106,-132.8,-501.45,-282.88
107,107,-132.8,-501.45,-299.9
108,108,-132.8,-501.45,-316.92
109,109,-132.8,-501.45,-333.94
110,110,-132.8,-501.45,-350.96
111,111,-132.8,-501.45,-367.98
112,112,-132.8,-501.45,-385.0
113,113,-132.8,-501.45,-402.03
114,114,-132.8,-501.45,-419.05
115,115,-132.8,-501.45,-436.07
116,116,-132.8,-501.45,-453.09
117,117,-132.8,-501.45,-470.11
118,118,-132.8,-501.45,-487.13
119,119,-132.8,-501.45,-504.15
120,120,-9.13,-481.74,499.23
121,121,-9.13,-481.74,482.21
122,122,-9.13,-481.74,465.19
123,123,-9.13,-481.74,448.17
124,124,-9.13,-481.74,431.15
125,125,-9.13,-481.74,414.13
126,126,-9.13,-481.74,397.11
127,127,-9.13,-481.74,380.09
128,128,-9.13,-481.74,363.07
129,129,-9.13,-481.74,346.05
130,130,-9.13,-481.74,329.03
131,131,-9.13,-481.74,312.01
132,132,-9.13,-481.74,294.99
133,133,-9.13,-481.74,277.96
134,134,-9.13,-481.74,260.94
135,135,-9.13,-481.74,243.92
136,136,-9.13,-481.74,226.9
137,137,-9.13,-481.74,209.88
138,138,-9.13,-481.74,192.86
139,139,-9.13,-481.74,175.84
140,140,-9.13,-481.74,158.82
141,141,-9.13,-481.74,141.8
142,142,-9.13,-481.74,124.78
143,143,-9.13,-481.74,107.76
144,144,-9.13,-481.74,90.74
145,145,-9.13,-481.74,73.72
146,146,-9.13,-481.74,56.7
147,147,-9.13,-481.74,39.67
148,148,-9.13,-481.74,22.65
149,149,-9.13,-481.74,5.63
150,150,-9.13,-481.74,-11.39
151,151,-9.13,-481.74,-28.41
152,152,-9.13,-481.74,-45.43
153,153,-9.13,-481.74,-62.45
154,154,-9.13,-481.74,-79.47
155,155,-9.13,-481.74,-96.49
156,156,-9.13,-481.74,-113.51
157,157,-9.13,-481.74,-130.53
158,158,-9.13,-481.74,-147.55
159,159,-9.13,-481.74,-164.57
160,160,-9.13,-481.74,-181.6
161,161,-9.13,-481.74,-198.62
162,162,-9.13,-481.74,-215.64
163,163,-9.13,-481.74,-232.66
164,164,-9.13,-481.74,-249.68
165,165,-9.13,-481.74,-266.7
166,166,-9.13,-481.74,-283.72
167,167,-9.13,-481.74,-300.74
168,168,-9.13,-481.74,-317.76
169,169,-9.13,-481.74,-334.78
170,170,-9.13,-481.74,-351.8
171,171,-9.13,-481.74,-368.82
172,172,-9.13,-481.74,-385.84
173,173,-9.13,-481.74,-402.87
174,174,-9.13,-481.74,-419.89
175,175,-9.13,-481.74,-436.91
176,176,-9.13,-481.74,-453.93
177,177,-9.13,-481.74,-470.95
178,178,-9.13,-481.74,-487.97
179,179,-9.13,-481.74,-504.99
180,180,114.39,-461.99,498.66
181,181,114.39,-461.99,481.64
182,182,114.39,-461.99,464.62
183,183,114.39,-461.99,447.6
184,184,114.39,-461.99,430.58
185,185,114.39,-461.99,413.56
186,186,114.39,-461.99,396.54
187,187,114.39,-461.99,379.52
188,188,114.39,-461.99,362.5
189,189,114.39,-461.99,345.48
190,190,114.39,-461.99,328.46
191,191,114.39,-461.99,311.44
192,192,114.39,-461.99,294.42
193,193,114.39,-461.99,277.39
194,194,114.39,-461.99,260.37
195,195,114.39,-461.99,243.35
196,196,114.39,-461.99,226.33
197,197,114.39,-461.99,209.31
198,198,114.39,-461.99,192.29
199,199,114.39,-461.99,175.27
200,200,114.39,-461.99,158.25
201,201,114.39,-461.99,141.23
202,202,114.39,-461.99,124.21
203,203,114.39,-461.99,107.19
204,204,114.39,-461.99,90.17
205,205,114.39,-461.99,73.15
206,206,114.39,-461.99,56.13
207,207,114.39,-461.99,39.1
208,208,114.39,-461.99,22.08
209,209,114.39,-461.99,5.06
210,210,114.39,-461.99,-11.96
211,211,114.39,-461.99,-28.98
212,212,114.39,-461.99,-46.0
213,213,114.39,-461.99,-63.02
214,214,114.39,-461.99,-80.04
215,215,114.39,-461.99,-97.06
216,216,114.39,-461.99,-114.08
217,217,114.39,-461.99,-131.1
218,218,114.39,-461.99,-148.12
219,219,114.39,-461.99,-165.14
220,220,114.39,-461.99,-182.17
221,221,114.39,-461.99,-199.19
222,222,114.39,-461.99,-216.21
223,223,114.39,-461.99,-233.23
224,224,114.39,-461.99,-250.25
225,225,114.39,-461.99,-267.27
226,226,114.39,-461.99,-284.29
227,227,114.39,-461.99,-301.31
228,228,114.39,-461.99,-318.33
229,229,114.39,-461.99,-335.35
230,230,114.39,-461.99,-352.37
231,231,114.39,-461.99,-369.39
232,232,114.39,-461.99,-386.41
233,233,114.39,-461.99,-403.44
234,234,114.39,-461.99,-420.46
