,x,y,z,z_max
0,-256.14,-521.08,-504.4,496.03
1,-132.8,-501.45,-504.15,500.07
2,-9.13,-481.74,-504.99,499.23
3,114.39,-461.99,-505.56,498.66
4,237.78,-442.42,-502.76,501.46
5,361.0,-422.83,-504.71,499.51
6,-334.8,-424.5,-503.63,500.59
7,-211.35,-404.4800000000001,-507.4,498.63
8,-88.05,-384.3,-504.83,500.02
9,35.54,-364.83,-506.51,497.71
10,158.94,-345.2300000000001,-504.39,499.83
11,282.18,-325.74,-505.78,498.44
12,405.83,-306.38,-509.09,495.13
13,-413.46,-327.2699999999999,-504.63,499.59
14,-290.66,-307.38,-500.08,504.02
15,-166.4,-287.79,-506.44,497.78
16,-43.27,-267.52,-504.1,500.43
17,79.41,-248.24000000000004,-505.32,498.9
18,210.47,-209.77,-507.28,496.94
19,326.85,-209.07,-505.8,498.42
20,443.7613333333333,-194.29033333333334,-487.55,516.67
21,-492.43,-230.16,-506.62,497.6
22,-368.93,-210.23,-503.69,500.53
23,-245.65,-190.49000000000004,-502.01,501.48
24,-121.77,-171.03,-501.56,502.27
25,1.71,-150.63,-506.97,497.25
26,124.97,-131.25,-510.57,493.65
27,248.15,-111.87000000000002,-506.19,498.34
28,371.56,-92.18,-501.64,501.58
29,500.43,-58.45,-502.37,501.85
30,-570.9,-125.14,-504.62,499.6
31,-447.74,-113.12999999999998,-503.55,500.67
32,-324.39,-93.43,-504.09,500.13
33,-200.55,-74.03,-480.8,523.42
34,-77.8,-54.33,-501.52,502.7
35,46.29,-34.88,-503.25,500.97
36,194.34,-30.92,-500.13,504.09
37,292.9,5.2,-512.82,491.4
38,411.81,13.0,-502.49,501.73
39,544.07,55.89,-502.14,502.79
40,-526.63,-15.6,-502.01,502.67
41,-403.14,3.49,-502.42,501.8
42,-279.53,23.17,-503.42,502.61
43,-156.23,43.37,-503.89,500.84
44,-32.96,62.43999999999999,-508.41,495.81
45,90.49,82.35,-502.56,501.66
46,195.03,125.59,-502.39,501.83
47,330.03,127.2,-504.86,500.87
48,472.05,127.9,-499.95,504.27
49,576.37,170.92,-510.18,494.04
50,-481.6,101.39,-501.94,502.05
51,-358.44,120.56,-506.16,498.06
52,-234.95,140.44,-504.16,500.06
53,-111.51,159.98,-503.69,500.53
54,11.87,179.19,-501.58,502.34
55,132.03,202.98,-502.39,502.74
56,257.31,211.66,-500.2,504.43
57,382.35,238.9,-505.68,498.54
58,505.2699999999999,257.88,-497.99,506.23
59,-437.04,217.8,-503.46,501.47
60,-313.6,237.44,-503.03,501.19
61,-189.98,257.42,-502.87,501.35
62,-66.7,276.92,-506.4,497.82
63,54.26,292.97,-480.07,524.56
64,174.47,315.54,-491.48,512.74
65,303.41,335.64,-491.27,512.95
66,429.76,351.0199999999999,-498.08,506.14
67,-392.38,334.24,-501.43,502.79
68,-268.9,354.24,-502.89,501.54
69,-145.45,374.24,-503.14,502.09
70,-21.969999999999995,393.24,-504.41,499.81
71,101.04,412.79,-500.51,504.42
72,224.58,432.35,-507.16,497.06
73,338.44,463.72,-498.5,505.72
74,-347.88,451.5199999999999,-502.62,502.01
75,-224.09,470.86,-501.8,502.42
76,-101.06,490.22,-503.24,501.49
77,22.11,509.5,-499.56,504.66
78,31.25,-72.93,-503.42,188.29
79,72.37000000000002,-66.6,-503.63,187.59
80,41.6,35.49,-501.61,189.52
81,106.94,27.09,-503.62,186.66
82,113.19,-60.47,-505.41,186.32
83,57.2,-105.52,-504.3,186.02
84,-9.68,-79.5,-499.28,191.01
85,-10.97,6.72,-500.73,190.42
